track_name,track_artist,track_album_name,track_href,uri
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad
Disease,Lady Gaga,Disease,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1,spotify:track:19KlZwqlT3fguP2BeHF1Q1
NEW DROP,Don Toliver,HARDSTONE PSYCHO,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf,spotify:track:2c7z5oRcPBbqRaBY2mLWcf
Stargazing,Myles Smith,Stargazing,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,spotify:track:46kspZSY3aKmwQe7O77fCC
Beautiful Things,Benson Boone,Beautiful Things,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW
Running Wild,Jin,Happy,https://api.spotify.com/v1/tracks/4p7DTkyrKqT98xlIwYYfXz,spotify:track:4p7DTkyrKqT98xlIwYYfXz
Thunderstruck,AC/DC,The Razors Edge,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj
Seven Nation Army,The White Stripes,Elephant,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR
Creep,Radiohead,Pablo Honey,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r
Come As You Are,Nirvana,Nevermind (Remastered),https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,spotify:track:4P5KoWXOxwuobLmHXLMobV
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox
"Paint It, Black",The Rolling Stones,Aftermath,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8
Everlong,Foo Fighters,The Colour And The Shape,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk
Runaway,Bon Jovi,Bon Jovi,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ,spotify:track:0X1sqQ652p1sceKM2nJlIJ
Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8
Even Flow,Pearl Jam,Ten,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,spotify:track:6QewNVIDKdSl8Y3ycuHIei
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,spotify:track:2N2yrmodOnVF10mKvItC9P
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,spotify:track:54bm2e3tk8cliUz3VSdCPZ
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,spotify:track:2EqlS6tkEnglzr7tkKAAYD
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy
Uprising,Muse,The Resistance,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,spotify:track:4VqPOruhp5EdPBeR92t6lQ
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,spotify:track:2EoOZnxNgtmZaD8uUmz2nD
Heroes - 2017 Remaster,David Bowie,"""Heroes"" (2017 Remaster)",https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z
Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo,spotify:track:5QTxFnGygVM4jFQiBovmRo
Comfortably Numb,Pink Floyd,The Wall,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
Highway to Hell,AC/DC,Highway to Hell,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
Alive,Pearl Jam,Ten,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,spotify:track:1L94M3KIu7QluZe63g64rv
Sabotage,Beastie Boys,Ill Communication,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9,spotify:track:0Puj4YlTm6xNzDDADXHMI9
Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hysteria (Super Deluxe),https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO,spotify:track:0PdM2a6oIjqepoEfcJo0RO
Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,https://api.spotify.com/v1/tracks/5OQsiBsky2k2kDKy2bX2eT,spotify:track:5OQsiBsky2k2kDKy2bX2eT
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z,spotify:track:6GtX0jaNL8IjVQfrDBx81z
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,Purple (2019 Remaster),https://api.spotify.com/v1/tracks/6qLEOZvf5gI7kWE63JE7p3,spotify:track:6qLEOZvf5gI7kWE63JE7p3
