track_name,track_artist,track_album_name,track_href,uri
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
Sailor Song,Gigi Perez,Sailor Song,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy
No One Noticed,The Marías,Submarine,https://api.spotify.com/v1/tracks/3siwsiaEoU4Kuuc9WKMUy5,spotify:track:3siwsiaEoU4Kuuc9WKMUy5
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,spotify:track:6zeE5tKyr8Nu882DQhhSQI
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb
Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,https://api.spotify.com/v1/tracks/4YMQXzscifAREG0a7KNGhB,spotify:track:4YMQXzscifAREG0a7KNGhB
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,spotify:track:2RlgNHKcydI9sayD2Df2xp
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,spotify:track:3gdewACMIVMEWVbyb8O9sY
American Pie,Don McLean,American Pie,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,spotify:track:1fDsrQ23eTAVFElUMaf38X
Walk On the Wild Side,Lou Reed,Transformer,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,spotify:track:5p3JunprHCxClJjOmcLV8G
Vienna,Billy Joel,The Stranger (Legacy Edition),https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7,spotify:track:4U45aEWtQhrm8A5mxPaFZ7
Wish You Were Here,Pink Floyd,Wish You Were Here,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1,spotify:track:6mFkJmJqdDVQ1REhVfGgd1
No Rain,Blind Melon,Blind Melon,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,spotify:track:6txWz9UapYHVxEd7dDIHXT
