track_name,track_artist,track_album_name,track_href,uri
Taste,Sabrina Carpenter,Short n' Sweet,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ
APT.,"ROSÉ, Bruno Mars",APT.,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v
2 hands,Tate McRae,2 hands,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ,spotify:track:1f18HzFpegqvH4ibGJyeMJ
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7
Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv,spotify:track:5G345YEhvleYxQLfYUlEFv
Love Somebody,Morgan Wallen,Love Somebody,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo,spotify:track:7hR22TOX3RorxJPcsz5Wbo
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4
Espresso,Sabrina Carpenter,Espresso,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75
Mantra,JENNIE,Mantra,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP
Too Sweet,Hozier,Unheard,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,spotify:track:4IadxL6BUymXlh8RCJJu7T
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (with Sexyy Red),https://api.spotify.com/v1/tracks/4VI2Y5xg4gYynQqNQNQbTN,spotify:track:4VI2Y5xg4gYynQqNQNQbTN
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73
Touch,KATSEYE,Touch,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav
End of Beginning,Djo,DECIDE,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD
The Emptiness Machine,Linkin Park,The Emptiness Machine,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A,spotify:track:2PnlsTsOTLE5jnBnNe2K0A
Who,Jimin,MUSE,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie
Basket Case,Green Day,Dookie,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s
White Wedding - Pt. 1,Billy Idol,Billy Idol,https://api.spotify.com/v1/tracks/1gzIbdFnGJ226LTl0Cn2SX,spotify:track:1gzIbdFnGJ226LTl0Cn2SX
You Shook Me All Night Long,AC/DC,Back In Black,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,spotify:track:2SiXAy7TuUkycRVbbWDEpo
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
Riders on the Storm,The Doors,L.A. Woman,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL,spotify:track:1i6N76fftMZhijOzFQ5ZtL
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU
Just What I Needed,The Cars,The Cars,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN
