track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,100,0.592,0.535,0.521,0.308,0.0,157.969,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Intense Hits
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,97,0.507,0.438,0.747,0.2,0.0608,104.978,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Balanced / Versatile Mix
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),93,0.808,0.372,0.554,0.214,0.0,108.548,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,Intense Hits
Taste,Sabrina Carpenter,Short n' Sweet,81,0.91,0.786,0.67,0.0939,0.0,112.966,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Feel-Good Hits
APT.,"ROSÉ, Bruno Mars",APT.,98,0.783,0.939,0.777,0.0283,0.0,149.027,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,Feel-Good Hits
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",94,0.582,0.785,0.7,0.0502,0.0,116.712,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Feel-Good Hits
Diet Pepsi,Addison Rae,Diet Pepsi,88,0.561,0.841,0.669,0.495,0.00962,150.069,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Balanced / Versatile Mix
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,93,0.247,0.126,0.467,0.612,0.000271,148.101,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Chill & Acoustic
Sailor Song,Gigi Perez,Sailor Song,71,0.416,0.297,0.492,0.686,8.61e-05,94.926,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB,Chill & Acoustic
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,92,0.722,0.57,0.769,0.0584,2.56e-06,119.973,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Feel-Good Hits
